Date,Where used,Song Title,Artist,Buy
2015/06,WWDC intra-session playlist 14,A-Punk,Vampire Weekend,iTunes
2011/06,OS X Lion promo video,About Saying and Meaning Goodbye,Act As If,iTunes
2003/04,iTunes Music Event/iTMS Europe Launch,Adia,Sarah McLachlan,iTunes
2003/04,iTunes Music Event 2002 Macworld San Francisco,Adiemus,Adiemus,iTunes
2001,"iBook G3 ""Snow"" introduction video (3:50)",Adukbe (Tomorrow),Baka Beyond,iTunes
2012/06,MacBook Pro with Retina Display introduction video,Afternoon,Youth Lagoon,iTunes
2012/10,iPad mini intro video (first song) 2011/06 WWDC Intra-session 6/9/11 10:06 a.m. 2010/06 WWDC Intra-session (iMix created by @masto),Age of Consent,New Order,iTunes
2012/10,iPad mini introduction video (first song),Age of Consent (New Order),Geographer,
2014/06,WWDC intra-session,The Age Of Worry,John Mayer,iTunes
2014/06,WWDC intra-session,Ain't It Fun,Paramore,iTunes
2015/06,WWDC intra-session playlist 15 2014/06 WWDC intra-session,Alive,Empire of the Sun,iTunes
2004,iTMS Europe Launch at Apple Expo London,All Along the Watchtower,Jimi Hendrix,iTunes
2015,"according to the AV engineer, this song has been played after the last session at every WWDC since 1999",All Along The Watchtower [Alternate Take],The Jimi Hendrix Experience,
2004,iTMS Europe Launch at Apple Expo London,All at Sea,Jamie Cullum,iTunes
2009/06,WWDC intra-session 6/12/09 2:55pm,All Because Of You,U2,iTunes
2005,Special Music Event,All Falls Down,Kanye West,iTunes
2004,Apple iLife '04 into,All I Wanna Do,Sheryl Crow,iTunes
2010/06,WWDC Bash 4,All Is Not Lost,OK Go,iTunes
2001,Apple iPod Intro,All Star,Smash Mouth,iTunes
2010/11,"The Beatles on iTunes ""Studio - All You Need is Love"" commercial",All You Need is Love,The Beatles,iTunes
2015/06,WWDC intra-session playlist 49 2014/06 WWDC intra-session,Alligator Sky,Owl City Feat. Shawn Chrystopher,iTunes
2009/06,WWDC intra-session 6/11/2009 6:16pm,Almada,Clorofila,
2010/02,iPad introduction video,Almost Everything,Wakey!Wakey!,iTunes
2014/09/09,"iPhone 6/6 Plus ""Duo"" commercial",Also sprach Zarathustra,Justin Timberlake & Jimmy Fallon,iTunes
1999,Macworld San Francisco/Blue & White G3/Open Minded/Secret Side Door/Most Powerful,Also sprach Zarathustra (2001: A Space Odyssey),Boston Pops Orchestra,iTunes
2015/03/09,Ã¯Â£Â¿ WATCH aluminum video,"""aluminum""",(Please help identify!),
2012/09,iPhone 5 feature video (first song),Always,Switchfoot,iTunes
2010/06,WWDC Intra-session 6/9/10 1:16 p.m.,Ambling Alp,Yeasayer,iTunes
2003/04,iTunes Music Event,Angel,Sarah McLachlan,iTunes
2015/06/15,Shot on an iPhone 6 by Andy H.,Animal,The Acid,iTunes
2013/06/13,WWDC Bash 7:24pm 2010/06 WWDC intra-session 6/8/10 11:42am 6/9/10 6:02 p.m.,Animal,Miike Snow,iTunes
2015/06,WWDC intra-session playlist 16 2012/06 WWDC Bash,Animal,Neon Trees,iTunes
2013/10,Apple Campus 2 video,Another Day,The Album Leaf,iTunes
2015/06,WWDC intra-session playlist 17,Anything Could Happen,Ellie Goulding,iTunes
2015/06/08,WWDC intra-session 12:28pm 2014/09/09 Special Event pre-keynote,Apogee,Tycho,iTunes
2013/09,iTunes Festival 2013 video,Applause,Lady Gaga,iTunes
2009,"""The new iMac"" feature video  2004/01 iPod 4G ""Rock"" silhouette commercial",Are You Gonna Be My Girl,Jet,iTunes
2008/10,"iPod touch 2G ""Funnest"" commercial iPod touch ""Funnest iPod ever"" Web ad for on cnet.com and games.yahoo.com <http: news.softpedia.com="""" news="""" apple-ad-messes-with-yahoo-page-99919.shtml=""""></http:>",Around the Bend,The Asteroids Galaxy Tour,iTunes
2012/04,"iPhone 4S ""Date Night"" commercial",As,Stevie Wonder,iTunes
2010/06,WWDC intra-session,Ashby Man,Charlie Hunter,iTunes
2006/09,"iPod nano 2G ""iPod Remastered"" commercial",The Audience Is Listening Theme Song,Cut Chemist,iTunes
2004,iTMS Europe Launch at Apple Expo London,Aunt Marge's Waltz,John Williams,iTunes
2009/06,WWDC intra-session 6/11/09 6:06pm,Autobanda,Bostich,
2014/01,"iPad Air ""Your Verse Anthem"" commercial",Awareness,Hanan Townshend,iTunes
2003/04,iTunes Music Event,Baaba,Baaba Maal,iTunes
2003/04,"Apple Music ""Nick"" commercial",Baby Got Back,Sir Mix-a-Lot,iTunes
2010/06,WWDC Intra-session 6/8/10 11:43 p.m.,Baby I Love You,Aretha Franklin,iTunes
2010/06,WWDC Bash 10,Back From Kathmandu,OK Go,iTunes
2014/06,WWDC Bash,Bad Blood,Bastille,iTunes
2014/01,"Mac video ""30 Years""",Bad Kingdom,Moderat,iTunes
2009/06,WWDC intra-session 6/11/2009 6:23-25pm,Bar Infierno,Fussible,
